"id","modality","week","measure"
1157,"logins","1",95
1158,"logins","1",31
1159,"logins","1",112
1160,"logins","1",117
1161,"logins","1",113
1162,"logins","1",101
1163,"logins","1",117
1164,"logins","1",119
1165,"logins","1",24
1166,"logins","1",43
1167,"logins","1",118
1168,"logins","1",20
1169,"logins","1",90
1170,"logins","1",91
1171,"logins","1",23
1172,"logins","1",21
1173,"logins","1",85
1174,"logins","1",22
1175,"logins","1",105
1176,"logins","1",35
1177,"logins","1",39
1178,"logins","1",35
1179,"logins","1",42
1180,"logins","1",32
1181,"logins","1",120
1182,"logins","1",86
1183,"logins","1",116
1184,"logins","1",114
1185,"logins","1",25
1186,"logins","1",93
1187,"logins","1",108
1188,"logins","1",106
1189,"logins","1",46
1190,"logins","1",113
1191,"logins","1",37
1192,"logins","1",42
1193,"logins","1",50
1194,"logins","1",30
1195,"logins","1",34
1196,"logins","1",21
1197,"logins","1",28
1198,"logins","1",110
1199,"logins","1",89
1200,"logins","1",43
1201,"logins","1",85
1202,"logins","1",92
1203,"logins","1",97
1204,"logins","1",86
1205,"logins","1",92
1206,"logins","1",119
1207,"logins","1",118
1208,"logins","1",25
1209,"logins","1",46
1210,"logins","1",97
1211,"logins","1",50
1212,"logins","1",119
1213,"logins","1",88
1214,"logins","1",115
1215,"logins","1",40
1216,"logins","1",115
1217,"logins","1",90
1218,"logins","1",113
1219,"logins","1",84
1220,"logins","1",22
1221,"logins","1",118
1222,"logins","1",34
1223,"logins","1",46
1224,"logins","1",42
1225,"logins","1",33
1226,"logins","1",83
1227,"logins","1",81
1228,"logins","1",25
1229,"logins","1",94
1230,"logins","1",104
1231,"logins","1",83
1232,"logins","1",37
1233,"logins","1",35
1234,"logins","1",20
1235,"logins","1",112
1236,"logins","1",86
1237,"logins","1",49
1238,"logins","1",80
1239,"logins","1",29
1240,"logins","1",22
1241,"logins","1",44
1242,"logins","1",31
1243,"logins","1",34
1244,"logins","1",90
1245,"logins","1",116
1246,"logins","1",118
1247,"logins","1",115
1248,"logins","1",29
1249,"logins","1",33
1250,"logins","1",110
1251,"logins","1",23
1252,"logins","1",113
1253,"logins","1",103
1254,"logins","1",109
1255,"logins","1",112
1256,"logins","1",118
1257,"logins","1",29
1258,"logins","1",81
1259,"logins","1",97
1260,"logins","1",44
1261,"logins","1",38
1262,"logins","1",46
1263,"logins","1",36
1264,"logins","1",34
1265,"logins","1",46
1266,"logins","1",87
1267,"logins","1",34
1268,"logins","1",108
1269,"logins","1",91
1270,"logins","1",110
1271,"logins","1",25
1272,"logins","1",120
1273,"logins","1",42
1274,"logins","1",99
1275,"logins","1",90
1276,"logins","1",85
1277,"logins","1",49
1278,"logins","1",25
1279,"logins","1",99
1280,"logins","1",92
1281,"logins","1",88
1282,"logins","1",43
1283,"logins","1",80
1284,"logins","1",112
1285,"logins","1",39
1286,"logins","1",95
1287,"logins","1",120
1288,"logins","1",25
1289,"logins","1",33
1290,"logins","1",40
1291,"logins","1",42
1292,"logins","1",33
1293,"logins","1",90
1294,"logins","1",105
1295,"logins","1",23
1296,"logins","1",40
1297,"logins","1",106
1298,"logins","1",83
1299,"logins","1",115
1300,"logins","1",80
1301,"logins","1",103
1302,"logins","1",113
1303,"logins","1",96
1304,"logins","1",34
1305,"logins","1",26
1306,"logins","1",111
1307,"logins","1",39
1308,"logins","1",107
1309,"logins","1",36
1310,"logins","1",88
1311,"logins","1",93
1312,"logins","1",106
1313,"logins","1",21
1314,"logins","1",83
1315,"logins","1",97
1316,"logins","1",109
1317,"logins","1",93
1318,"logins","1",86
1319,"logins","1",95
1320,"logins","1",105
1321,"logins","1",115
1322,"logins","1",49
1323,"logins","1",89
1324,"logins","1",38
1325,"logins","1",46
1326,"logins","1",104
1327,"logins","1",48
1328,"logins","1",90
1329,"logins","1",83
1330,"logins","1",97
1331,"logins","1",23
1332,"logins","1",98
1333,"logins","1",42
1334,"logins","1",110
1335,"logins","1",115
1336,"logins","1",96
1337,"logins","1",20
1338,"logins","1",45
1339,"logins","1",85
1340,"logins","1",119
1341,"logins","1",110
1342,"logins","1",101
1343,"logins","1",50
1344,"logins","1",40
1345,"logins","1",27
1346,"logins","1",27
1347,"logins","1",103
1348,"logins","1",27
1349,"logins","1",81
1350,"logins","1",105
1351,"logins","1",39
1352,"logins","1",103
1353,"logins","1",45
1354,"logins","1",27
1355,"logins","1",43
1356,"logins","1",38
1357,"logins","1",47
1358,"logins","1",108
1359,"logins","1",24
1360,"logins","1",40
1361,"logins","1",96
1362,"logins","1",93
1363,"logins","1",101
1364,"logins","1",117
1365,"logins","1",101
1366,"logins","1",29
1367,"logins","1",33
1368,"logins","1",92
1369,"logins","1",26
1370,"logins","1",104
1371,"logins","1",87
1372,"logins","1",112
1373,"logins","1",22
1374,"logins","1",47
1375,"logins","1",29
1376,"logins","1",106
1377,"logins","1",111
1378,"logins","1",23
1379,"logins","1",99
1380,"logins","1",94
1381,"logins","1",24
1382,"logins","1",82
1383,"logins","1",30
1384,"logins","1",82
1385,"logins","1",40
1386,"logins","1",29
1387,"logins","1",108
1388,"logins","1",117
1389,"logins","1",38
1390,"logins","1",111
1391,"logins","1",93
1392,"logins","1",115
1393,"logins","1",33
1394,"logins","1",40
1395,"logins","1",20
1396,"logins","1",85
1397,"logins","1",93
1398,"logins","1",21
1399,"logins","1",33
1400,"logins","1",29
1401,"logins","1",21
1402,"logins","1",40
1403,"logins","1",112
1404,"logins","1",116
1405,"logins","1",40
1406,"logins","1",27
1407,"logins","1",47
1408,"logins","1",88
1409,"logins","1",31
1410,"logins","1",26
1411,"logins","1",90
1412,"logins","1",95
1413,"logins","1",35
1414,"logins","1",29
1415,"logins","1",37
1416,"logins","1",99
1417,"logins","1",88
1418,"logins","1",40
1419,"logins","1",21
1420,"logins","1",111
1421,"logins","1",43
1422,"logins","1",31
1423,"logins","1",92
1424,"logins","1",118
1425,"logins","1",116
1426,"logins","1",92
1427,"logins","1",49
1428,"logins","1",108
1429,"logins","1",119
1430,"logins","1",119
1431,"logins","1",22
1432,"logins","1",47
1433,"logins","1",48
1434,"logins","1",22
1435,"logins","1",33
1436,"logins","1",94
1437,"logins","1",87
1438,"logins","1",42
1439,"logins","1",111
1440,"logins","1",106
1441,"logins","1",99
1442,"logins","1",80
1443,"logins","1",112
1444,"logins","1",81
1445,"logins","1",81
1446,"logins","1",21
1447,"logins","1",39
1448,"logins","1",113
1449,"logins","1",106
1450,"logins","1",29
1451,"logins","1",48
1452,"logins","1",27
1453,"logins","1",37
1454,"logins","1",92
1455,"logins","1",40
1456,"logins","1",84
1457,"logins","1",47
1458,"logins","1",45
1459,"logins","1",48
1460,"logins","1",38
1461,"logins","1",108
1462,"logins","1",100
1463,"logins","1",113
1464,"logins","1",114
1465,"logins","1",94
1466,"logins","1",91
1467,"logins","1",45
1468,"logins","1",22
1469,"logins","1",96
1470,"logins","1",33
1471,"logins","1",120
1472,"logins","1",36
1473,"logins","1",49
1474,"logins","1",38
1475,"logins","1",46
1476,"logins","1",39
1477,"logins","1",49
1478,"logins","1",84
1479,"logins","1",36
1480,"logins","1",31
1481,"logins","1",84
1482,"logins","1",31
1483,"logins","1",42
1484,"logins","1",25
1485,"logins","1",91
1486,"logins","1",38
1487,"logins","1",33
1488,"logins","1",102
1489,"logins","1",45
1490,"logins","1",40
1491,"logins","1",47
1492,"logins","1",120
1493,"logins","1",25
1494,"logins","1",101
1495,"logins","1",91
1496,"logins","1",42
1497,"logins","1",92
1498,"logins","1",35
1499,"logins","1",102
1500,"logins","1",116
1501,"logins","1",48
1502,"logins","1",20
1503,"logins","1",99
1504,"logins","1",26
1505,"logins","1",106
1506,"logins","1",109
1507,"logins","1",31
1508,"logins","1",20
1509,"logins","1",50
1510,"logins","1",49
1511,"logins","1",120
1512,"logins","1",110
1513,"logins","1",83
1514,"logins","1",41
1515,"logins","1",33
1516,"logins","1",33
1517,"logins","1",32
1518,"logins","1",109
1519,"logins","1",24
1520,"logins","1",103
1521,"logins","1",101
1522,"logins","1",28
1523,"logins","1",118
1524,"logins","1",84
1525,"logins","1",87
1526,"logins","1",46
1527,"logins","1",42
1528,"logins","1",47
1529,"logins","1",45
1530,"logins","1",91
1531,"logins","1",92
1532,"logins","1",119
1533,"logins","1",24
1534,"logins","1",103
1535,"logins","1",111
1536,"logins","1",113
1537,"logins","1",94
1538,"logins","1",83
1539,"logins","1",32
1540,"logins","1",94
1541,"logins","1",83
1542,"logins","1",85
1543,"logins","1",93
1544,"logins","1",95
1545,"logins","1",119
1546,"logins","1",99
1547,"logins","1",114
1548,"logins","1",33
1549,"logins","1",120
1550,"logins","1",23
1551,"logins","1",21
1552,"logins","1",108
1553,"logins","1",98
1554,"logins","1",119
1555,"logins","1",37
1556,"logins","1",20
1557,"logins","1",98
1558,"logins","1",36
1559,"logins","1",41
1560,"logins","1",90
1561,"logins","1",47
1562,"logins","1",47
1563,"logins","1",112
1564,"logins","1",93
1565,"logins","1",24
1566,"logins","1",35
1567,"logins","1",94
1568,"logins","1",47
1569,"logins","1",85
1570,"logins","1",96
1571,"logins","1",120
1572,"logins","1",109
1573,"logins","1",96
1574,"logins","1",99
1575,"logins","1",21
1576,"logins","1",92
1577,"logins","1",27
1578,"logins","1",30
1579,"logins","1",114
1580,"logins","1",33
1581,"logins","1",50
1582,"logins","1",104
1583,"logins","1",97
1584,"logins","1",33
1585,"logins","1",43
1586,"logins","1",48
1587,"logins","1",94
1588,"logins","1",93
1589,"logins","1",28
1590,"logins","1",22
1591,"logins","1",44
1592,"logins","1",101
1593,"logins","1",90
1594,"logins","1",110
1595,"logins","1",40
1596,"logins","1",118
1597,"logins","1",35
1598,"logins","1",84
1599,"logins","1",47
1600,"logins","1",37
1601,"logins","1",49
1602,"logins","1",50
1603,"logins","1",37
1604,"logins","1",23
1605,"logins","1",80
1606,"logins","1",110
1607,"logins","1",81
1608,"logins","1",86
1609,"logins","1",25
1610,"logins","1",108
1611,"logins","1",35
1612,"logins","1",26
1613,"logins","1",93
1614,"logins","1",37
1615,"logins","1",43
1616,"logins","1",113
1617,"logins","1",116
1618,"logins","1",110
1619,"logins","1",113
1620,"logins","1",92
1621,"logins","1",94
1622,"logins","1",87
1623,"logins","1",30
1624,"logins","1",111
1625,"logins","1",97
1626,"logins","1",92
1627,"logins","1",45
1628,"logins","1",108
1629,"logins","1",37
1630,"logins","1",120
1631,"logins","1",105
1632,"logins","1",117
1633,"logins","1",82
1634,"logins","1",86
1635,"logins","1",42
1636,"logins","1",104
1637,"logins","1",111
1638,"logins","1",106
1639,"logins","1",86
1640,"logins","1",85
1641,"logins","1",87
1642,"logins","1",89
1643,"logins","1",28
1644,"logins","1",90
1645,"logins","1",109
1646,"logins","1",94
1647,"logins","1",93
1648,"logins","1",32
1649,"logins","1",45
1650,"logins","1",101
1651,"logins","1",31
1652,"logins","1",43
1653,"logins","1",37
1654,"logins","1",101
1655,"logins","1",28
1656,"logins","1",111
1657,"logins","1",29
1658,"logins","1",85
1659,"logins","1",33
1660,"logins","1",26
1661,"logins","1",85
1662,"logins","1",43
1663,"logins","1",115
1664,"logins","1",27
1665,"logins","1",31
1666,"logins","1",109
1667,"logins","1",117
1668,"logins","1",83
1669,"logins","1",95
1670,"logins","1",108
1671,"logins","1",38
1672,"logins","1",35
1673,"logins","1",44
1674,"logins","1",97
1675,"logins","1",87
1676,"logins","1",92
1677,"logins","1",109
1678,"logins","1",43
1679,"logins","1",85
1680,"logins","1",39
1681,"logins","1",119
1682,"logins","1",119
1683,"logins","1",117
1684,"logins","1",36
1685,"logins","1",36
1686,"logins","1",23
1687,"logins","1",80
1688,"logins","1",103
1689,"logins","1",46
1690,"logins","1",34
1691,"logins","1",50
1692,"logins","1",110
1693,"logins","1",107
1694,"logins","1",94
1695,"logins","1",86
1696,"logins","1",28
1697,"logins","1",47
1698,"logins","1",90
1699,"logins","1",41
1700,"logins","1",98
1701,"logins","1",83
1702,"logins","1",39
1703,"logins","1",41
1704,"logins","1",91
1705,"logins","1",111
1706,"logins","1",102
1707,"logins","1",36
1708,"logins","1",103
1709,"logins","1",118
1710,"logins","1",39
1711,"logins","1",23
1712,"logins","1",45
1713,"logins","1",113
1714,"logins","1",89
1715,"logins","1",115
1716,"logins","1",88
1717,"logins","1",34
1718,"logins","1",88
1719,"logins","1",118
1720,"logins","1",45
1721,"logins","1",46
1722,"logins","1",83
1723,"logins","1",101
1724,"logins","1",84
1725,"logins","1",110
1726,"logins","1",38
1727,"logins","1",45
1728,"logins","1",107
1729,"logins","1",23
1730,"logins","1",112
1731,"logins","1",91
1732,"logins","1",48
1733,"logins","1",117
1734,"logins","1",116
1735,"logins","1",38
1736,"logins","1",32
1737,"logins","1",31
1738,"logins","1",31
1739,"logins","1",85
1740,"logins","1",35
1741,"logins","1",100
1742,"logins","1",37
1743,"logins","1",33
1744,"logins","1",93
1745,"logins","1",36
1746,"logins","1",80
1747,"logins","1",120
1748,"logins","1",102
1749,"logins","1",32
1750,"logins","1",113
1751,"logins","1",117
1752,"logins","1",40
1753,"logins","1",104
1754,"logins","1",103
1755,"logins","1",24
1756,"logins","1",100
1757,"logins","1",30
1758,"logins","1",28
1759,"logins","1",81
1760,"logins","1",114
1761,"logins","1",90
1762,"logins","1",105
1763,"logins","1",44
1764,"logins","1",97
1765,"logins","1",81
1766,"logins","1",43
1767,"logins","1",43
1768,"logins","1",24
1769,"logins","1",116
1770,"logins","1",31
1771,"logins","1",45
1772,"logins","1",24
1773,"logins","1",106
1774,"logins","1",100
1775,"logins","1",100
1776,"logins","1",106
1777,"logins","1",90
1778,"logins","1",113
1779,"logins","1",104
1780,"logins","1",40
1781,"logins","1",82
1782,"logins","1",37
1783,"logins","1",120
1784,"logins","1",29
1785,"logins","1",93
1786,"logins","1",34
1787,"logins","1",101
1788,"logins","1",36
1789,"logins","1",110
1790,"logins","1",110
1791,"logins","1",38
1792,"logins","1",85
1793,"logins","1",24
1794,"logins","1",117
1795,"logins","1",84
1796,"logins","1",115
1797,"logins","1",24
1798,"logins","1",81
1799,"logins","1",42
1800,"logins","1",33
1801,"logins","1",95
1802,"logins","1",101
1803,"logins","1",97
1804,"logins","1",47
1805,"logins","1",107
1806,"logins","1",85
1807,"logins","1",109
1808,"logins","1",82
1809,"logins","1",92
1810,"logins","1",45
1811,"logins","1",103
1812,"logins","1",42
1813,"logins","1",23
1814,"logins","1",105
1815,"logins","1",48
1816,"logins","1",24
1817,"logins","1",100
1818,"logins","1",114
1819,"logins","1",85
1820,"logins","1",24
1821,"logins","1",117
1822,"logins","1",110
1823,"logins","1",88
1824,"logins","1",119
1825,"logins","1",105
1826,"logins","1",40
1827,"logins","1",92
1828,"logins","1",49
1829,"logins","1",44
1830,"logins","1",104
1831,"logins","1",20
1832,"logins","1",107
1833,"logins","1",89
1834,"logins","1",46
1835,"logins","1",46
1836,"logins","1",37
1837,"logins","1",87
1838,"logins","1",44
1839,"logins","1",103
1840,"logins","1",107
1841,"logins","1",88
1842,"logins","1",41
1843,"logins","1",39
1844,"logins","1",38
1845,"logins","1",109
1846,"logins","1",96
1847,"logins","1",40
1848,"logins","1",39
1849,"logins","1",41
1850,"logins","1",23
1851,"logins","1",116
1852,"logins","1",99
1853,"logins","1",84
1854,"logins","1",81
1855,"logins","1",42
1856,"logins","1",110
1857,"logins","1",102
1858,"logins","1",43
1859,"logins","1",40
1860,"logins","1",39
1861,"logins","1",84
1862,"logins","1",98
1863,"logins","1",106
1864,"logins","1",83
1865,"logins","1",38
1866,"logins","1",88
1867,"logins","1",110
1868,"logins","1",88
1869,"logins","1",104
1870,"logins","1",41
1871,"logins","1",28
1872,"logins","1",95
1873,"logins","1",113
1874,"logins","1",46
1875,"logins","1",110
1876,"logins","1",88
1877,"logins","1",95
1878,"logins","1",22
1879,"logins","1",22
1880,"logins","1",46
1881,"logins","1",81
1882,"logins","1",20
1883,"logins","1",96
1884,"logins","1",112
1885,"logins","1",105
1886,"logins","1",117
1887,"logins","1",35
1888,"logins","1",30
1889,"logins","1",25
1890,"logins","1",93
1891,"logins","1",38
1892,"logins","1",22
1893,"logins","1",89
1894,"logins","1",21
1895,"logins","1",20
1896,"logins","1",32
1897,"logins","1",29
1898,"logins","1",101
1899,"logins","1",94
1900,"logins","1",116
1901,"logins","1",95
1902,"logins","1",94
1903,"logins","1",102
1904,"logins","1",41
1905,"logins","1",108
1906,"logins","1",33
1907,"logins","1",103
1908,"logins","1",106
1909,"logins","1",26
1910,"logins","1",48
1911,"logins","1",89
1912,"logins","1",89
1913,"logins","1",90
1914,"logins","1",49
1915,"logins","1",108
1916,"logins","1",35
1917,"logins","1",82
1918,"logins","1",81
1919,"logins","1",91
1920,"logins","1",41
1921,"logins","1",26
1922,"logins","1",40
1923,"logins","1",25
1924,"logins","1",40
1925,"logins","1",50
1926,"logins","1",95
1927,"logins","1",91
1928,"logins","1",91
1929,"logins","1",50
1930,"logins","1",33
1931,"logins","1",96
1932,"logins","1",90
1933,"logins","1",44
1934,"logins","1",101
1935,"logins","1",26
1936,"logins","1",114
1937,"logins","1",113
1938,"logins","1",26
1939,"logins","1",31
1940,"logins","1",93
1941,"logins","1",33
1942,"logins","1",32
1943,"logins","1",118
1944,"logins","1",35
1945,"logins","1",43
1946,"logins","1",103
1947,"logins","1",118
1948,"logins","1",88
1949,"logins","1",100
1950,"logins","1",119
1951,"logins","1",116
1952,"logins","1",38
1953,"logins","1",42
1954,"logins","1",42
1955,"logins","1",86
1956,"logins","1",38
1957,"logins","1",108
1958,"logins","1",37
1959,"logins","1",81
1960,"logins","1",96
1961,"logins","1",107
1962,"logins","1",86
1963,"logins","1",112
1964,"logins","1",86
1965,"logins","1",86
1966,"logins","1",83
1967,"logins","1",20
1968,"logins","1",26
1969,"logins","1",32
1970,"logins","1",27
1971,"logins","1",115
1972,"logins","1",98
1973,"logins","1",37
1974,"logins","1",99
1975,"logins","1",97
1976,"logins","1",120
1977,"logins","1",49
1978,"logins","1",34
1979,"logins","1",117
1980,"logins","1",118
1981,"logins","1",101
1982,"logins","1",95
1983,"logins","1",27
1984,"logins","1",40
1985,"logins","1",23
1986,"logins","1",94
1987,"logins","1",105
1988,"logins","1",118
1989,"logins","1",44
1990,"logins","1",96
1991,"logins","1",88
1992,"logins","1",43
1993,"logins","1",35
1994,"logins","1",106
1995,"logins","1",23
1996,"logins","1",28
1997,"logins","1",105
1998,"logins","1",50
1999,"logins","1",95
2000,"logins","1",21
2001,"logins","1",108
1000,"logins","2",31
1001,"logins","2",109
1002,"logins","2",22
1003,"logins","2",33
1004,"logins","2",10
1005,"logins","2",109
1006,"logins","2",78
1007,"logins","2",23
1008,"logins","2",83
1009,"logins","2",24
1010,"logins","2",91
1011,"logins","2",72
1012,"logins","2",82
1013,"logins","2",103
1014,"logins","2",6
1015,"logins","2",84
1016,"logins","2",23
1017,"logins","2",76
1018,"logins","2",101
1019,"logins","2",10
1020,"logins","2",70
1021,"logins","2",80
1022,"logins","2",22
1023,"logins","2",99
1024,"logins","2",80
1025,"logins","2",110
1026,"logins","2",21
1027,"logins","2",99
1028,"logins","2",83
1029,"logins","2",104
1030,"logins","2",85
1031,"logins","2",0
1032,"logins","2",39
1033,"logins","2",100
1034,"logins","2",36
1035,"logins","2",93
1036,"logins","2",101
1037,"logins","2",33
1038,"logins","2",110
1039,"logins","2",94
1040,"logins","2",104
1041,"logins","2",20
1042,"logins","2",38
1043,"logins","2",102
1044,"logins","2",40
1045,"logins","2",91
1046,"logins","2",78
1047,"logins","2",78
1048,"logins","2",104
1049,"logins","2",104
1050,"logins","2",94
1051,"logins","2",32
1052,"logins","2",9
1053,"logins","2",95
1054,"logins","2",73
1055,"logins","2",6
1056,"logins","2",0
1057,"logins","2",104
1058,"logins","2",77
1059,"logins","2",37
1060,"logins","2",1
1061,"logins","2",83
1062,"logins","2",38
1063,"logins","2",0
1064,"logins","2",30
1065,"logins","2",74
1066,"logins","2",99
1067,"logins","2",91
1068,"logins","2",91
1069,"logins","2",102
1070,"logins","2",84
1071,"logins","2",81
1072,"logins","2",107
1073,"logins","2",26
1074,"logins","2",107
1075,"logins","2",81
1076,"logins","2",73
1077,"logins","2",32
1078,"logins","2",88
1079,"logins","2",110
1080,"logins","2",99
1081,"logins","2",20
1082,"logins","2",74
1083,"logins","2",33
1084,"logins","2",71
1085,"logins","2",27
1086,"logins","2",32
1087,"logins","2",39
1088,"logins","2",100
1089,"logins","2",10
1090,"logins","2",5
1091,"logins","2",101
1092,"logins","2",95
1093,"logins","2",101
1094,"logins","2",28
1095,"logins","2",10
1096,"logins","2",99
1097,"logins","2",28
1098,"logins","2",1
1099,"logins","2",37
1100,"logins","2",72
1101,"logins","2",35
1102,"logins","2",10
1103,"logins","2",98
1104,"logins","2",1
1105,"logins","2",25
1106,"logins","2",25
1107,"logins","2",1
1108,"logins","2",75
1109,"logins","2",77
1110,"logins","2",28
1111,"logins","2",107
1112,"logins","2",95
1113,"logins","2",81
1114,"logins","2",106
1115,"logins","2",6
1116,"logins","2",26
1117,"logins","2",106
1118,"logins","2",96
1119,"logins","2",23
1120,"logins","2",6
1121,"logins","2",90
1122,"logins","2",33
1123,"logins","2",25
1124,"logins","2",75
1125,"logins","2",83
1126,"logins","2",93
1127,"logins","2",81
1128,"logins","2",30
1129,"logins","2",35
1130,"logins","2",109
1131,"logins","2",6
1132,"logins","2",92
1133,"logins","2",74
1134,"logins","2",3
1135,"logins","2",105
1136,"logins","2",24
1137,"logins","2",72
1138,"logins","2",2
1139,"logins","2",100
1140,"logins","2",72
1141,"logins","2",103
1142,"logins","2",4
1143,"logins","2",72
1144,"logins","2",23
1145,"logins","2",21
1146,"logins","2",34
1147,"logins","2",106
1148,"logins","2",94
1149,"logins","2",82
1150,"logins","2",70
1151,"logins","2",2
1152,"logins","2",27
1153,"logins","2",8
1154,"logins","2",103
1155,"logins","2",37
1156,"logins","2",99
1157,"logins","2",107
1158,"logins","2",40
1159,"logins","2",97
1160,"logins","2",107
1161,"logins","2",72
1162,"logins","2",108
1163,"logins","2",90
1164,"logins","2",89
1165,"logins","2",40
1166,"logins","2",9
1167,"logins","2",110
1168,"logins","2",40
1169,"logins","2",78
1170,"logins","2",82
1171,"logins","2",5
1172,"logins","2",27
1173,"logins","2",96
1174,"logins","2",22
1175,"logins","2",94
1176,"logins","2",22
1177,"logins","2",34
1178,"logins","2",2
1179,"logins","2",1
1180,"logins","2",33
1181,"logins","2",84
1182,"logins","2",80
1183,"logins","2",89
1184,"logins","2",107
1185,"logins","2",27
1186,"logins","2",101
1187,"logins","2",94
1188,"logins","2",89
1189,"logins","2",21
1190,"logins","2",95
1191,"logins","2",32
1192,"logins","2",0
1193,"logins","2",1
1194,"logins","2",22
1195,"logins","2",35
1196,"logins","2",37
1197,"logins","2",31
1198,"logins","2",75
1199,"logins","2",83
1200,"logins","2",20
1201,"logins","2",101
1202,"logins","2",77
1203,"logins","2",70
1204,"logins","2",78
1205,"logins","2",91
1206,"logins","2",75
1207,"logins","2",81
1208,"logins","2",26
1209,"logins","2",1
1210,"logins","2",84
1211,"logins","2",26
1212,"logins","2",73
1213,"logins","2",85
1214,"logins","2",84
1215,"logins","2",21
1216,"logins","2",74
1217,"logins","2",77
1218,"logins","2",75
1219,"logins","2",74
1220,"logins","2",20
1221,"logins","2",100
1222,"logins","2",23
1223,"logins","2",35
1224,"logins","2",29
1225,"logins","2",27
1226,"logins","2",101
1227,"logins","2",104
1228,"logins","2",28
1229,"logins","2",77
1230,"logins","2",90
1231,"logins","2",84
1232,"logins","2",39
1233,"logins","2",4
1234,"logins","2",4
1235,"logins","2",73
1236,"logins","2",93
1237,"logins","2",34
1238,"logins","2",83
1239,"logins","2",21
1240,"logins","2",30
1241,"logins","2",26
1242,"logins","2",10
1243,"logins","2",31
1244,"logins","2",103
1245,"logins","2",97
1246,"logins","2",72
1247,"logins","2",81
1248,"logins","2",24
1249,"logins","2",8
1250,"logins","2",109
1251,"logins","2",2
1252,"logins","2",76
1253,"logins","2",73
1254,"logins","2",106
1255,"logins","2",94
1256,"logins","2",85
1257,"logins","2",8
1258,"logins","2",101
1259,"logins","2",101
1260,"logins","2",4
1261,"logins","2",36
1262,"logins","2",35
1263,"logins","2",4
1264,"logins","2",2
1265,"logins","2",32
1266,"logins","2",97
1267,"logins","2",20
